epoc,Ashian,Black,Hispanic,Other,White
1608786000000,7.6,10.6,3.8,6.5,71.4
1609390800000,6.8,14.1,4,4.8,70.3
1609995600000,5.5,12.3,4.4,4.4,73.4
1610600400000,4.5,11.8,4.5,6.4,72.8
1611205200000,3.8,8.1,2.9,5.5,79.7
1611810000000,2.7,10.2,2.6,6,78.4
1612414800000,3.3,10.4,2.6,10.9,72.8
1613019600000,4,11.8,3,7.9,73.3
1613624400000,3,11.4,2.8,5.5,77.3
1614229200000,3.3,13.5,3.1,6.9,73.3
1614834000000,3.7,14,3,6.1,73.2
1615438800000,4.3,15.6,3.3,6.2,70.5
1616040000000,5.1,16,4.4,7.4,67.1
1616644800000,5.8,15.4,4.6,6.5,67.7
1617249600000,5.4,14.7,5.5,6.7,67.7
1617854400000,6.1,14.4,5,8.3,66.2
1618459200000,6.7,15.9,7.7,7.2,62.4
1619064000000,7.5,14.9,9.4,8,60.2
1619668800000,7,17.4,10.5,7,58.2
1620273600000,5.9,19.3,11.4,7.6,55.7
1620878400000,5,18.4,14.4,7.1,55.4
1621483200000,5,16.6,11.5,6.8,60.2
1622088000000,5.9,19.8,14.4,7.9,52
1622692800000,5.7,22.7,16,7.8,47.7
1623297600000,4.7,22.4,16.1,8,48.9
1623902400000,4,21.9,18.3,9.4,46.4
1624507200000,5.1,21.3,20,12.5,41.1
1625112000000,3.5,25.9,19.4,9,42.2
1625716800000,5.5,27.4,17.7,8.5,40.9
1626321600000,4.2,26.6,18.8,8.9,41.5
1626969600000,3.7,28.2,15.9,7.8,44.3
